locus	description	name
PA1275	cobalamin biosynthetic protein CobD	cobD
PA1276	cobalamin biosynthetic protein CobC	cobC
PA1277	cobyric acid synthase	cobQ
PA1278	cobinamide kinase	cobP
PA1279	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	cobU
PA1280	hypothetical protein	PA1280
PA1281	cobalamin (5'-phosphate) synthase	cobV
PA1282	probable major facilitator superfamily (MFS) transporter	PA1282
PA1283	probable transcriptional regulator	PA1283
PA1284	probable acyl-CoA dehydrogenase	PA1284
PA1285	probable transcriptional regulator	PA1285
PA1286	probable major facilitator superfamily (MFS) transporter	PA1286
PA1287	probable glutathione peroxidase	PA1287
PA1288	probable outer membrane protein precursor	PA1288
PA1289	hypothetical protein	PA1289
PA1290	probable transcriptional regulator	PA1290
PA1291	hypothetical protein	PA1291
PA1292	probable 3-mercaptopyruvate sulfurtransferase	PA1292
PA1293	hypothetical protein	PA1293
PA1294	ribonuclease D	rnd
PA1295	conserved hypothetical protein	PA1295
PA1296	probable 2-hydroxyacid dehydrogenase	PA1296
PA1297	probable metal transporter	PA1297
PA1298	conserved hypothetical protein	PA1298
PA1299	conserved hypothetical protein	PA1299
PA1300	ECF sigma factor	PA1300
PA1301	probable transmembrane sensor	PA1301
PA1302	probable heme utilization protein precursor	PA1302
PA1303	signal peptidase	PA1303
PA1304	probable oligopeptidase	PA1304
PA1305	hypothetical protein	PA1305
PA1306	probable HIT family protein	PA1306
PA1307	conserved hypothetical protein	PA1307
PA1308	hypothetical protein	PA1308
PA1309	probable transcriptional regulator	PA1309
PA1310	2-aminoethylphosphonate:pyruvate aminotransferase	phnW
PA1311	2-phosphonoacetaldehyde hydrolase	phnX
PA1312	probable transcriptional regulator	PA1312
PA1313	probable major facilitator superfamily (MFS) transporter	PA1313
PA1314	hypothetical protein	PA1314
PA1315	probable transcriptional regulator	PA1315
PA1316	probable major facilitator superfamily (MFS) transporter	PA1316
PA1317	cytochrome o ubiquinol oxidase subunit II	cyoA
PA1318	cytochrome o ubiquinol oxidase subunit I	cyoB
PA1319	cytochrome o ubiquinol oxidase subunit III	cyoC
PA1320	cytochrome o ubiquinol oxidase subunit IV	cyoD
PA1321	cytochrome o ubiquinol oxidase protein CyoE	cyoE
PA1322	probable TonB-dependent receptor	PA1322
PA1323	hypothetical protein	PA1323
PA1324	hypothetical protein	PA1324
PA1325	conserved hypothetical protein	PA1325
PA1326	threonine dehydratase, biosynthetic	ilvA2
PA1327	probable protease	PA1327
PA1328	probable transcriptional regulator	PA1328
PA1329	conserved hypothetical protein	PA1329
PA1330	probable short-chain dehydrogenase	PA1330
PA1331	conserved hypothetical protein	PA1331
PA1332	hypothetical protein	PA1332
PA1333	hypothetical protein	PA1333
PA1334	probable oxidoreductase	PA1334
PA1335	AauR	aauR
PA1336	AauS	aauS
PA1337	glutaminase-asparaginase	ansB
PA1338	gamma-glutamyltranspeptidase precursor	ggt
PA1339	AatP	aatP
PA1340	AatM	aatM
PA1341	AatQ	aatQ
PA1342	AatJ	aatJ
PA1343	hypothetical protein	PA1343
PA1344	probable short-chain dehydrogenase	PA1344
PA1345	hypothetical protein	PA1345
PA1346	hypothetical protein	PA1346
PA1347	probable transcriptional regulator	PA1347
PA1348	hypothetical protein	PA1348
PA1349	conserved hypothetical protein	PA1349
PA1350	hypothetical protein	PA1350
PA1351	probable sigma-70 factor, ECF subfamily	PA1351
PA1352	conserved hypothetical protein	PA1352
PA1353	hypothetical protein	PA1353
PA1354	hypothetical protein	PA1354
PA1355	hypothetical protein	PA1355
PA1356	hypothetical protein	PA1356
PA1357	conserved hypothetical protein	PA1357
PA1358	hypothetical protein	PA1358
PA1359	probable transcriptional regulator	PA1359
PA1360	conserved hypothetical protein	PA1360
PA1361	NorM	norM
PA1362	hypothetical protein	PA1362
PA1363	ECF sigma factor	PA1363
PA1364	probable transmembrane sensor	PA1364
PA1365	probable siderophore receptor	PA1365
PA1366	hypothetical protein	PA1366
PA1367	hypothetical protein	PA1367
PA1368	hypothetical protein	PA1368
PA1369	hypothetical protein	PA1369
PA1370	hypothetical protein	PA1370
PA1371	hypothetical protein	PA1371
PA1372	hypothetical protein	PA1372
PA1373	3-oxoacyl-acyl carrier protein synthase II	fabF2
PA1374	hypothetical protein	PA1374
PA1375	erythronate-4-phosphate dehydrogenase	pdxB
PA1376	isocitrate dehydrogenase kinase/phosphatase	aceK
PA1377	conserved hypothetical protein	PA1377
PA1378	hypothetical protein	PA1378
PA1379	probable short-chain dehydrogenase	PA1379
PA1380	probable transcriptional regulator	PA1380
PA1381	hypothetical protein	PA1381
PA1382	probable type II secretion system protein	PA1382
PA1383	hypothetical protein	PA1383
PA1384	UDP-glucose 4-epimerase	galE
PA1385	probable glycosyl transferase	PA1385
PA1386	probable ATP-binding component of ABC transporter	PA1386
PA1387	hypothetical protein	PA1387
PA1388	hypothetical protein	PA1388
PA1389	probable glycosyl transferase	PA1389
PA1390	probable glycosyl transferase	PA1390
PA1391	probable glycosyl transferase	PA1391
PA1392	hypothetical protein	PA1392
PA1393	adenosine 5'-phosphosulfate (APS) kinase	cysC
PA1394	hypothetical protein	PA1394
PA1395	hypothetical protein	PA1395
PA1396	probable two-component sensor	PA1396
PA1397	probable two-component response regulator	PA1397
PA1398	hypothetical protein	PA1398
PA1399	probable transcriptional regulator	PA1399
PA1400	probable pyruvate carboxylase	PA1400
PA1401	hypothetical protein	PA1401
PA1402	hypothetical protein	PA1402
PA1403	probable transcriptional regulator	PA1403
PA1404	hypothetical protein	PA1404
PA1405	probable helicase	PA1405
PA1406	hypothetical protein	PA1406
PA1407	hypothetical protein	PA1407
PA1408	hypothetical protein	PA1408
PA1409	acetylpolyamine aminohydrolase	aphA
PA1410	probable periplasmic spermidine/putrescine-binding protein	PA1410
PA1411	hypothetical protein	PA1411
PA1412	hypothetical protein	PA1412
PA1413	probable transcriptional regulator	PA1413
PA1414	hypothetical protein	PA1414
PA1415	hypothetical protein	PA1415
PA1416	conserved hypothetical protein	PA1416
PA1417	probable decarboxylase	PA1417
PA1418	probable sodium:solute symport protein	PA1418
PA1419	probable transporter	PA1419
PA1420	hypothetical protein	PA1420
PA1421	guanidinobutyrase	gbuA
PA1422	GbuR	gbuR
PA1423	BdlA	bdlA
PA1424	hypothetical protein	PA1424
PA1425	probable ATP-binding component of ABC transporter	PA1425
PA1426	hypothetical protein	PA1426
PA1427	hypothetical protein	PA1427
PA1428	conserved hypothetical protein	PA1428
PA1429	probable cation-transporting P-type ATPase	PA1429
PA1430	transcriptional regulator LasR	lasR
PA1431	regulatory protein RsaL	rsaL
PA1432	autoinducer synthesis protein LasI	lasI
PA1433	conserved hypothetical protein	PA1433
PA1434	hypothetical protein	PA1434
PA1435	probable Resistance-Nodulation-Cell Division (RND) efflux membrane fusion protein precursor	PA1435
PA1436	probable Resistance-Nodulation-Cell Division (RND) efflux transporter	PA1436
PA1437	probable two-component response regulator	PA1437
PA1438	probable two-component sensor	PA1438
PA1439	conserved hypothetical protein	PA1439
PA1440	hypothetical protein	PA1440
PA1441	putative flagellar hook-length control protein FliK	PA1441
PA1442	conserved hypothetical protein	PA1442
PA1443	flagellar motor switch protein FliM	fliM
PA1444	flagellar motor switch protein FliN	fliN
PA1445	flagellar protein FliO	fliO
PA1446	flagellar biosynthetic protein FliP	fliP
PA1447	flagellar biosynthetic protein FliQ	fliQ
PA1448	flagellar biosynthetic protein FliR	fliR
PA1449	flagellar biosynthetic protein FlhB	flhB
PA1450	conserved hypothetical protein	PA1450
PA1451	conserved hypothetical protein	PA1451
PA1452	flagellar biosynthesis protein FlhA	flhA
PA1453	flagellar biosynthesis protein FlhF	flhF
PA1454	flagellar synthesis regulator FleN	fleN
PA1455	sigma factor FliA	fliA
PA1456	two-component response regulator CheY	cheY
PA1457	chemotaxis protein CheZ	cheZ
PA1458	probable two-component sensor	PA1458
PA1459	probable methyltransferase	PA1459
PA1460	MotC	motC
PA1461	MotD	motD
PA1462	probable plasmid partitioning protein	PA1462
PA1463	hypothetical protein	PA1463
PA1464	probable purine-binding chemotaxis protein	PA1464
PA1465	hypothetical protein	PA1465
PA1466	hypothetical protein	PA1466
PA1467	hypothetical protein	PA1467
PA1468	hypothetical protein	PA1468
PA1469	hypothetical protein	PA1469
PA1470	probable short-chain dehydrogenase	PA1470
PA1471	hypothetical protein	PA1471
PA1472	conserved hypothetical protein	PA1472
PA1473	hypothetical protein	PA1473
PA1474	hypothetical protein	PA1474
PA1475	heme exporter protein CcmA	ccmA
PA1476	heme exporter protein CcmB	ccmB
PA1477	heme exporter protein CcmC	ccmC
PA1478	hypothetical protein	PA1478
PA1479	cytochrome C-type biogenesis protein CcmE	ccmE
PA1480	cytochrome C-type biogenesis protein CcmF	ccmF
PA1481	cytochrome C biogenesis protein CcmG	ccmG
PA1482	cytochrome C-type biogenesis protein CcmH	ccmH
PA1483	cytochrome c-type biogenesis protein	cycH
PA1484	probable transcriptional regulator	PA1484
PA1485	probable amino acid permease	PA1485
PA1486	beta-peptidyl aminopeptidase	bapF
PA1487	probable carbohydrate kinase	PA1487
PA1488	hypothetical protein	PA1488
PA1489	hypothetical protein	PA1489
PA1490	probable transcriptional regulator	PA1490
PA1491	probable transporter	PA1491
PA1492	hypothetical protein	PA1492
PA1493	sulfate-binding protein of ABC transporter	cysP
PA1494	mucoidy inhibitor gene A	muiA
PA1495	hypothetical protein	PA1495
PA1496	probable potassium channel	PA1496
PA1497	probable transporter	PA1497
PA1498	pyruvate kinase I	pykF
PA1499	conserved hypothetical protein	PA1499
PA1500	probable oxidoreductase	PA1500
PA1501	conserved hypothetical protein	PA1501
PA1502	glyoxylate carboligase	gcl
PA1503	hypothetical protein	PA1503
PA1504	probable transcriptional regulator	PA1504
PA1505	molybdopterin biosynthetic protein A2	moaA2
PA1506	hypothetical protein	PA1506
PA1507	probable transporter	PA1507
PA1508	hypothetical protein	PA1508
PA1509	immunity protein, TplEi	tplEi
PA1510	type 6 PGAP1-like effector, TplE	tplE
PA1511	VgrG2a	vgrG2a
PA1512	secreted protein Hcp	hcpA
PA1513	hypothetical protein	PA1513
PA1514	ureidoglycolate hydrolaseYbbT	PA1514
PA1515	allantoicase	alc
PA1516	hypothetical protein	PA1516
PA1517	conserved hypothetical protein	PA1517
PA1518	conserved hypothetical protein	PA1518
PA1519	probable transporter	PA1519
PA1520	probable transcriptional regulator	PA1520
PA1521	probable guanine deaminase	PA1521
PA1522	hypothetical protein	PA1522
PA1523	xanthine dehydrogenase	xdhB
PA1524	xanthine dehydrogenase	xdhA
PA1525	alkane-1-monooxygenase 2	alkB2
PA1526	probable transcriptional regulator	PA1526
PA1527	conserved hypothetical protein	PA1527
PA1528	cell division protein ZipA	zipA
PA1529	DNA ligase	lig
PA1530	hypothetical protein	PA1530
PA1531	hypothetical protein	PA1531
PA1532	DNA polymerase subunits gamma and tau	dnaX
PA1533	conserved hypothetical protein	PA1533
PA1534	recombination protein RecR	recR
PA1535	citronellyl-CoA dehydrogenase	PA1535
PA1536	conserved hypothetical protein	PA1536
PA1537	probable short-chain dehydrogenase	PA1537
PA1538	probable flavin-containing monooxygenase	PA1538
PA1539	hypothetical protein	PA1539
PA1540	conserved hypothetical protein	PA1540
PA1541	probable drug efflux transporter	PA1541
PA1542	hypothetical protein	PA1542
PA1543	adenine phosphoribosyltransferase	apt
PA1544	transcriptional regulator Anr	anr
PA1545	hypothetical protein	PA1545
PA1546	oxygen-independent coproporphyrinogen III oxidase	hemN
PA1547	hypothetical protein	PA1547
PA1548	conserved hypothetical protein	PA1548
PA1549	probable cation-transporting P-type ATPase	PA1549
PA1550	hypothetical protein	PA1550
PA1551	probable ferredoxin	PA1551
PA1552	Cytochrome c oxidase, cbb3-type, CcoP subunit	ccoP1
PA1552.1	Cytochrome c oxidase, cbb3-type, CcoQ subunit	ccoQ1
PA1553	Cytochrome c oxidase, cbb3-type, CcoO subunit	ccoO1
PA1554	Cytochrome c oxidase, cbb3-type, CcoN subunit	ccoN1
PA1555	Cytochrome c oxidase, cbb3-type, CcoP subunit	ccoP2
PA1555.1	Cytochrome c oxidase, cbb3-type, CcoQ subunit	ccoQ2
PA1556	Cytochrome c oxidase, cbb3-type, CcoO subunit	ccoO2
PA1557	Cytochrome c oxidase, cbb3-type, CcoN subunit	ccoN2
PA1558	hypothetical protein	PA1558
PA1559	hypothetical protein	PA1559
PA1560	hypothetical protein	PA1560
PA1561	aerotaxis receptor Aer	aer
PA1562	aconitate hydratase 1	acnA
PA1563	conserved hypothetical protein	PA1563
PA1564	conserved hypothetical protein	PA1564
PA1565	FAD-dependent oxidoreductase	pauB2
PA1566	Glutamylpolyamine synthetase	pauA3
PA1567	conserved hypothetical protein	PA1567
PA1568	conserved hypothetical protein	PA1568
PA1569	probable major facilitator superfamily (MFS) transporter	PA1569
PA1570	probable transcriptional regulator	PA1570
PA1571	hypothetical protein	PA1571
PA1572	conserved hypothetical protein	PA1572
PA1573	conserved hypothetical protein	PA1573
PA1574	conserved hypothetical protein	PA1574
PA1575	hypothetical protein	PA1575
PA1576	probable 3-hydroxyisobutyrate dehydrogenase	PA1576
PA1577	hypothetical protein	PA1577
PA1578	hypothetical protein	PA1578
PA1579	hypothetical protein	PA1579
PA1580	citrate synthase	gltA
PA1581	succinate dehydrogenase (C subunit)	sdhC
PA1582	succinate dehydrogenase (D subunit)	sdhD
PA1583	succinate dehydrogenase (A subunit)	sdhA
PA1584	succinate dehydrogenase (B subunit)	sdhB
PA1585	2-oxoglutarate dehydrogenase (E1 subunit)	sucA
PA1586	dihydrolipoamide succinyltransferase (E2 subunit)	sucB
PA1587	dihydrolipoamide dehydrogenase Lpd	lpd
PA1588	succinyl-CoA synthetase beta chain	sucC
PA1589	succinyl-CoA synthetase alpha chain	sucD
PA1590	branched chain amino acid transporter	braB
PA1591	hypothetical protein	PA1591
PA1592	hypothetical protein	PA1592
PA1593	hypothetical protein	PA1593
PA1594	hypothetical protein	PA1594
PA1595	hypothetical protein	PA1595
PA1596	heat shock protein HtpG	htpG
PA1597	hypothetical protein	PA1597
PA1598	conserved hypothetical protein	PA1598
PA1599	probable transcriptional regulator	PA1599
PA1600	probable cytochrome c	PA1600
PA1601	probable aldehyde dehydrogenase	PA1601
PA1602	probable oxidoreductase	PA1602
PA1603	probable transcriptional regulator	PA1603
PA1604	hypothetical protein	PA1604
PA1605	hypothetical protein	PA1605
PA1606	hypothetical protein	PA1606
PA1607	conserved hypothetical protein	PA1607
PA1608	probable chemotaxis transducer	PA1608
PA1609	beta-ketoacyl-ACP synthase I	fabB
PA1610	beta-hydroxydecanoyl-ACP dehydrase	fabA
PA1611	hybrid sensor kinase	PA1611
PA1612	hypothetical protein	PA1612
PA1613	hypothetical protein	PA1613
PA1614	glycerol-3-phosphate dehydrogenase, biosynthetic	gpsA
PA1615	probable lipase	PA1615
PA1616	conserved hypothetical protein	PA1616
PA1617	probable AMP-binding enzyme	PA1617
PA1618	conserved hypothetical protein	PA1618
PA1619	probable transcriptional regulator	PA1619
PA1620	hypothetical protein	PA1620
PA1621	probable hydrolase	PA1621
PA1622	probable hydrolase	PA1622
PA1623	conserved hypothetical protein	PA1623
PA1624	hypothetical protein	PA1624
PA1625	conserved hypothetical protein	PA1625
PA1626	probable major facilitator superfamily (MFS) transporter	PA1626
PA1627	probable transcriptional regulator	PA1627
PA1628	probable 3-hydroxyacyl-CoA dehydrogenase	PA1628
PA1629	probable enoyl-CoA hydratase/isomerase	PA1629
PA1630	probable transcriptional regulator	PA1630
PA1631	probable acyl-CoA dehydrogenase	PA1631
PA1632	KdpF protein	kdpF
PA1633	potassium-transporting ATPase, A chain	kdpA
PA1634	potassium-transporting ATPase, B chain	kdpB
PA1635	potassium-transporting ATPase, C chain	kdpC
PA1636	two-component sensor KdpD	kdpD
PA1637	two-component response regulator KdpE	kdpE
PA1638	conserved hypothetical protein	PA1638
PA1639	hypothetical protein	PA1639
PA1640	conserved hypothetical protein	PA1640
PA1641	hypothetical protein	PA1641
PA1642	selenophosphate synthetase	selD
PA1643	conserved hypothetical protein	PA1643
PA1644	conserved hypothetical protein	PA1644
PA1645	hypothetical protein	PA1645
PA1646	probable chemotaxis transducer	PA1646
PA1647	probable sulfate transporter	PA1647
PA1648	probable oxidoreductase	PA1648
PA1649	probable short-chain dehydrogenase	PA1649
PA1650	probable transporter	PA1650
PA1651	probable transporter	PA1651
PA1652	hypothetical protein	PA1652
PA1653	probable transcriptional regulator	PA1653
PA1654	probable aminotransferase	PA1654
PA1655	probable glutathione S-transferase	PA1655
PA1656	HsiA2	hsiA2
PA1657	HsiB2	hsiB2
PA1658	HsiC2	hsiC2
PA1659	HsiF2	hsiF2
PA1660	HsiG2	hsiG2
PA1661	HsiH2	hsiH2
PA1662	clpV2	clpV2
PA1663	Sfa2	sfa2
PA1664	OrfX	orfX
PA1665	Fha2	fha2
PA1666	Lip2	lip2
PA1667	HsiJ2	hsiJ2
PA1668	DotU2	dotU2
PA1669	IcmF2	icmF2
PA1670	Stp1	stp1
PA1671	Stk1	stk1
PA1672	hypothetical protein	PA1672
PA1673	hypothetical protein	PA1673
PA1674	GTP cyclohydrolase I precursor	folE2
PA1675	conserved hypothetical protein	PA1675
PA1676	hypothetical protein	PA1676
PA1677	conserved hypothetical protein	PA1677
PA1678	probable DNA methylase	PA1678
PA1679	hypothetical protein	PA1679
PA1680	hypothetical protein	PA1680
PA1681	chorismate synthase	aroC
PA1682	probable MFS metabolite transporter	PA1682
PA1683	probable sugar aldolase	PA1683
PA1684	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase MtnD	PA1684
PA1685	enolase-phosphatase E-1	masA
PA1686	DNA-3-methyladenine glycosidase II	alkA
PA1687	spermidine synthase	speE
PA1688	hypothetical protein	PA1688
PA1689	conserved hypothetical protein	PA1689
PA1690	translocation protein in type III secretion	pscU
PA1691	translocation protein in type III secretion	pscT
PA1692	probable translocation protein in type III secretion	PA1692
PA1693	translocation protein in type III secretion	pscR
PA1694	translocation protein in type III secretion	pscQ
PA1695	translocation protein in type III secretion	pscP
PA1696	translocation protein in type III secretion	pscO
PA1697	ATP synthase in type III secretion system	PA1697
PA1698	Type III secretion outer membrane protein PopN precursor	popN
PA1699	Pcr1	pcr1
PA1700	Pcr2	pcr2
PA1701	Pcr3	pcr3
PA1702	Pcr4	pcr4
PA1703	type III secretory apparatus protein PcrD	pcrD
PA1704	transcriptional regulator protein PcrR	pcrR
PA1705	regulator in type III secretion	pcrG
PA1706	type III secretion protein PcrV	pcrV
PA1707	regulatory protein PcrH	pcrH
PA1708	translocator protein PopB	popB
PA1709	Translocator outer membrane protein PopD precursor	popD
PA1710	ExsC, exoenzyme S synthesis protein C precursor.	exsC
PA1711	ExsE	exsE
PA1712	exoenzyme S synthesis protein B	exsB
PA1713	transcriptional regulator ExsA	exsA
PA1714	ExsD	exsD
PA1715	type III export apparatus protein	pscB
PA1716	Type III secretion outer membrane protein PscC precursor	pscC
PA1717	type III export protein PscD	pscD
PA1718	type III export protein PscE	pscE
PA1719	type III export protein PscF	pscF
PA1720	type III export protein PscG	pscG
PA1721	type III export protein PscH	pscH
PA1722	type III export protein PscI	pscI
PA1723	type III export protein PscJ	pscJ
PA1724	type III export protein PscK	pscK
PA1725	type III export protein PscL	pscL
PA1726	periplasmic beta-glucosidase	bglX
PA1727	MucR	mucR
PA1728	hypothetical protein	PA1728
PA1729	conserved hypothetical protein	PA1729
PA1730	conserved hypothetical protein	PA1730
PA1731	conserved hypothetical protein	PA1731
PA1732	conserved hypothetical protein	PA1732
PA1733	conserved hypothetical protein	PA1733
PA1734	hypothetical protein	PA1734
PA1735	hypothetical protein	PA1735
PA1736	probable acyl-CoA thiolase	PA1736
PA1737	probable 3-hydroxyacyl-CoA dehydrogenase	PA1737
PA1738	probable transcriptional regulator	PA1738
PA1739	probable oxidoreductase	PA1739
PA1740	hypothetical protein	PA1740
PA1741	hypothetical protein	PA1741
PA1742	Glutamine amidotransferase class I	pauD2
PA1743	hypothetical protein	PA1743
PA1744	hypothetical protein	PA1744
PA1745	hypothetical protein	PA1745
PA1746	hypothetical protein	PA1746
PA1747	hypothetical protein	PA1747
PA1748	probable enoyl-CoA hydratase/isomerase	PA1748
PA1749	hypothetical protein	PA1749
PA1750	phospho-2-dehydro-3-deoxyheptonate aldolase	PA1750
PA1751	hypothetical protein	PA1751
PA1752	hypothetical protein	PA1752
PA1753	conserved hypothetical protein	PA1753
PA1754	transcriptional regulator CysB	cysB
PA1755	hypothetical protein	PA1755
PA1756	3'-phosphoadenosine-5'-phosphosulfate reductase	cysH
PA1757	homoserine kinase	thrH
PA1758	para-aminobenzoate synthase component I	pabB
PA1759	probable transcriptional regulator	PA1759
PA1760	probable transcriptional regulator	PA1760
PA1761	hypothetical protein	PA1761
PA1762	hypothetical protein	PA1762
PA1763	hypothetical protein	PA1763
PA1764	hypothetical protein	PA1764
PA1765	hypothetical protein	PA1765
PA1766	hypothetical protein	PA1766
PA1767	hypothetical protein	PA1767
PA1768	hypothetical protein	PA1768
PA1769	conserved hypothetical protein	PA1769
PA1770	phosphoenolpyruvate synthase	ppsA
PA1771	EstX	estX
PA1772	probable methyltransferase	PA1772
PA1773	CmaX protein	cmaX
PA1774	CrfX protein	crfX
PA1775	conserved cytoplasmic membrane protein, CmpX protein	cmpX
PA1776	ECF sigma factor SigX	sigX
PA1777	Major porin and structural outer membrane porin OprF precursor	oprF
PA1778	uroporphyrin-III C-methyltransferase	cobA
PA1779	assimilatory nitrate reductase	PA1779
PA1780	assimilatory nitrite reductase small subunit	nirD
PA1781	assimilatory nitrite reductase large subunit	nirB
PA1782	probable serine/threonine-protein kinase	PA1782
PA1783	nitrate transporter	nasA
PA1784	hypothetical protein	PA1784
PA1785	NasT	nasT
PA1786	NasS	nasS
PA1787	aconitate hydratase 2	acnB
PA1788	hypothetical protein	PA1788
PA1789	hypothetical protein	PA1789
PA1790	hypothetical protein	PA1790
PA1791	hypothetical protein	PA1791
PA1792	conserved hypothetical protein	PA1792
PA1793	peptidyl-prolyl cis-trans isomerase B	ppiB
PA1794	glutaminyl-tRNA synthetase	glnS
PA1795	cysteinyl-tRNA synthetase	cysS
PA1796	5,10-methylene-tetrahydrofolate dehydrogenase / cyclohydrolase	folD
PA1797	hypothetical protein	PA1797
PA1798	two-component sensor, ParS	parS
PA1799	two-component response regulator, ParR	parR
PA1800	trigger factor	tig
PA1801	ClpP	clpP
PA1802	ClpX	clpX
PA1803	Lon protease	lon
PA1804	DNA-binding protein HU	hupB
PA1805	peptidyl-prolyl cis-trans isomerase D	ppiD
PA1806	NADH-dependent enoyl-ACP reductase	fabI
PA1807	NppD	nppD
PA1808	NppC	nppC
PA1809	NppB	nppB
PA1810	NppA2	nppA2
PA1811	NppA1	nppA1
PA1812	membrane-bound lytic murein transglycosylase D precursor	mltD
PA1813	probable hydroxyacylglutathione hydrolase	PA1813
PA1814	KerV	kerV
PA1815	ribonuclease H	rnhA
PA1816	DNA polymerase III, epsilon chain	dnaQ
PA1817	hypothetical protein	PA1817
PA1818	lysine decarboxylase	cadA
PA1819	probable amino acid permease	PA1819
PA1820	sodium/proton antiporter NhaB	nhaB
PA1821	probable enoyl-CoA hydratase/isomerase	PA1821
PA1822	hypothetical protein	fimL
PA1823	NudC	nudC
PA1824	conserved hypothetical protein	PA1824
PA1825	hypothetical protein	PA1825
PA1826	probable transcriptional regulator	PA1826
PA1827	probable short-chain dehydrogenase	PA1827
PA1828	probable short-chain dehydrogenase	PA1828
PA1829	hypothetical protein	PA1829
PA1830	hypothetical protein	PA1830
PA1831	hypothetical protein	PA1831
PA1832	probable protease	PA1832
PA1833	probable oxidoreductase	PA1833
PA1834	hypothetical protein	PA1834
PA1835	hypothetical protein	PA1835
PA1836	probable transcriptional regulator	PA1836
PA1837	hypothetical protein	PA1837
PA1838	sulfite reductase	cysI
PA1839	hypothetical protein	PA1839
PA1840	hypothetical protein	PA1840
PA1841	hypothetical protein	PA1841
PA1842	hypothetical protein	PA1842
PA1843	methionine synthase	metH
PA1844	Tse1	tse1
PA1845	Tsi1	tsi1
PA1846	cis/trans isomerase	cti
PA1847	NfuA	nfuA
PA1848	probable major facilitator superfamily (MFS) transporter	PA1848
PA1849	conserved hypothetical protein	PA1849
PA1850	probable transcriptional regulator	PA1850
PA1851	hypothetical protein	PA1851
PA1852	hypothetical protein	PA1852
PA1853	probable transcriptional regulator	PA1853
PA1854	conserved hypothetical protein	PA1854
PA1855	hypothetical protein	PA1855
PA1856	probable cytochrome oxidase subunit	PA1856
PA1857	conserved hypothetical protein	PA1857
PA1858	streptomycin 3''-phosphotransferase	str
PA1859	probable transcriptional regulator	PA1859
PA1860	hypothetical protein	PA1860
PA1861	molybdenum transport protein ModC	modC
PA1862	molybdenum transport protein ModB	modB
PA1863	molybdate-binding periplasmic protein precursor ModA	modA
PA1864	probable transcriptional regulator	PA1864
PA1865	hypothetical protein	PA1865
PA1866	hypothetical protein	PA1866
PA1867	XphA	xphA
PA1868	secretion protein XqhA	xqhA
PA1869	probable acyl carrier protein	PA1869
PA1870	hypothetical protein	PA1870
PA1871	LasA protease precursor	lasA
PA1872	hypothetical protein	PA1872
PA1873	hypothetical protein	PA1873
PA1874	hypothetical protein	PA1874
PA1875	probable outer membrane protein precursor	PA1875
PA1876	probable ATP-binding/permease fusion ABC transporter	PA1876
PA1877	probable secretion protein	PA1877
PA1878	hypothetical protein	PA1878
PA1879	hypothetical protein	PA1879
PA1880	probable oxidoreductase	PA1880
PA1881	probable oxidoreductase	PA1881
PA1882	probable transporter	PA1882
PA1883	probable NADH-ubiquinone/plastoquinone oxidoreductase	PA1883
PA1884	probable transcriptional regulator	PA1884
PA1885	conserved hypothetical protein	PA1885
PA1886	DNA polymerase II	polB
PA1887	hypothetical protein	PA1887
PA1888	hypothetical protein	PA1888
PA1889	hypothetical protein	PA1889
PA1890	probable glutathione S-transferase	PA1890
PA1891	hypothetical protein	PA1891
PA1892	hypothetical protein	PA1892
PA1893	hypothetical protein	PA1893
PA1894	hypothetical protein	PA1894
PA1895	hypothetical protein	PA1895
PA1896	hypothetical protein	PA1896
PA1897	hypothetical protein	PA1897
PA1898	quorum-sensing control repressor	qscR
PA1899	probable phenazine biosynthesis protein	phzA2
PA1900	probable phenazine biosynthesis protein	phzB2
PA1901	phenazine biosynthesis protein PhzC	phzC2
PA1902	phenazine biosynthesis protein PhzD	phzD2
PA1903	phenazine biosynthesis protein PhzE	phzE2
PA1904	probable phenazine biosynthesis protein	phzF2
PA1905	probable pyridoxamine 5'-phosphate oxidase	phzG2
PA1906	hypothetical protein	PA1906
PA1907	hypothetical protein	PA1907
PA1908	probable major facilitator superfamily (MFS) transporter	PA1908
PA1909	hypothetical protein	PA1909
PA1910	ferric-mycobactin receptor, FemA	femA
PA1911	sigma factor regulator, FemR	femR
PA1912	ECF sigma factor, FemI	femI
PA1913	hypothetical protein	PA1913
PA1914	conserved hypothetical protein	PA1914
PA1915	hypothetical protein	PA1915
PA1916	probable amino acid permease	PA1916
PA1917	hypothetical protein	PA1917
PA1918	hypothetical protein	PA1918
PA1919	class III (anaerobic) ribonucleoside-triphosphate reductase activating protein, 'activase', NrdG	nrdG
PA1920	class III (anaerobic) ribonucleoside-triphosphate reductase subunit, NrdD	nrdD
PA1921	hypothetical protein	PA1921
PA1922	probable TonB-dependent receptor	PA1922
PA1923	hypothetical protein	PA1923
PA1924	hypothetical protein	PA1924
PA1925	hypothetical protein	PA1925
PA1926	Uncharacterized protein	PA1926
PA1927	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	metE
PA1928	ribosomal protein alanine acetyltransferase	rimJ
PA1929	hypothetical protein	PA1929
PA1930	probable chemotaxis transducer	PA1930
